noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,Vergabekammer des Landes Hessen beim Regierungspräsidium Darmstadt,t:06151126603,Darmstadt,64283,DE711,DEU,,,reviewer,,,,,,
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,"Hanau Immobilien- und Baumanagement, 
Eigenbetrieb der Stadt Hanau",DE113525347,Hanau,63452,DE719,DEU,https://www.hanau.de,,buyer,,kommun-beh,,,,
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,"Vergabekammer des Landes Hessen beim
Regierungspräsidium Darmstadt",DE294956625,Darmstadt,64283,DE711,DEU,,,reviewer,,,,,,
0154f570-03d0-4766-90ab-501c3e9c9727,01,Flughafen München GmbH,DE129352365,München,85326,DE21B,DEU,https://www.munich-airport.de,,buyer,,,,,,
0154f570-03d0-4766-90ab-501c3e9c9727,01,Regierung von Oberbayern - Vergabekammer Südbayern,09-0318006-60,München,80534,DE212,DEU,,,reviewer,,,,,,
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,Stadt Ichenhausen,5865,Ichenhausen,89335,DE278,DEU,https://www.deutsche-evergabe.de,,buyer,https://www.deutsche-evergabe.de,kommun-beh,,,,
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,Vergabekammer Südbayern,f82f18bb-92cd-4ea1-8065-8c23e72e781c,München,80534,DE212,DEU,,,reviewer,,,,,,
2f51da30-ace1-438c-87f3-d453fea657eb,01,Stadtverwaltung Radolfzell am Bodensee,Leitweg-ID 08335063-A8498-15,Radolfzell,78315,DE138,DEU,https://www.radolfzell.de,,buyer,,koerp-oer-kommun,,,,
2f51da30-ace1-438c-87f3-d453fea657eb,01,Vergabekammer Baden-Württemberg beim Regierungspräsidium Karlsruhe,Leitweg ID: 08-A9866-40,Karlsruhe,76131,DE122,DEU,,,reviewer,,,,,,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,"Land Hessen, vertreten durch den Landesbetrieb Bau und Immobilien Hessen, Zentrale Vergabe",wird bei Auftragserteilung mitgeteilt,Bad Nauheim,61231,DE71E,DEU,https://vergabe.hessen.de,,buyer,,koerp-oer-land,,,,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,Vergabekammer des Landes Hessen bei dem Regierungspräsidium Darmstadt,DE 812 056 745,Darmstadt,64283,DE711,DEU,,,reviewer,,,,,,
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,Zweckverband Staatliche weiterführende Schulen im Südosten des Landkreises München (Schulzweckverband Südost),unbekannt1,Neubiberg,"85579
",DE21H,DEU,www.szv-m.de,,buyer,https://plattform.aumass.de/Veroeffentlichung/av286b63-eu,koerp-oer-kommun,,,,
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,Hitzler Ingenieure GmbH & Co. KG,unbekannt3,München,80807,DE212,DEU,,,,,,,,,
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,Vergabekammer Südbayern bei der Regierung von Oberbayern,0000,"München
",80538,DE212,DEU,https://www.regierung.oberbayern.bayern.de/,,reviewer,,,,,,
68799396-9c0b-41bc-84f6-3c646b99051e,01,"Hanau Immobilien- und Baumanagement,
Eigenbetrieb der Stadt Hanau",DE113525347,Hanau,63452,DE719,DEU,https://www.hanau.de,,buyer,,kommun-beh,,,,
68799396-9c0b-41bc-84f6-3c646b99051e,01,"Vergabekammer des Landes Hessen beim
Regierungspräsidium Darmstadt",DE294956625,Darmstadt,64283,DE711,DEU,,,reviewer,,,,,,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,Land Berlin – Sondervermögen Immobilien des Landes Berlin (SILB) c/o BIM Berliner Immobilienmanagement GmbH,11-2200011000-02,Berlin,10178,DE300,DEU,https://www.bim-berlin.de,,buyer,,grp-p-aut,,,,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,BIM Berliner Immobilienmanagement GmbH,11-2100019001-07,Berlin,10178,DE300,DEU,https://www.bim-berlin.de,,serv-prov,,,,,,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,Vergabekammer des Landes Berlin,11-1300000V00-74,Berlin,10825,DE300,DEU,https://www.berlin.de/sen/wirtschaft/wirtschaft/wirtschaftsrecht/vergabekammer/,,reviewer,,,,,,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,Stadt Hemmingen,032410007007-0-67,Hemmingen,30966,DE929,DEU,https://www.stadthemmingen.de/,,buyer,,koerp-oer-kommun,,,,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,bbt Rechts- und Steuerkanzlei GmbH,DE259528735,Hannover,30159,DE929,DEU,http://www.bbt-kanzlei.de,,,,,,,,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,"Vergabekammer Niedersachsen beim Niedersächsischen Ministerium für Wirtschaft, Verkehr und Bauen",t:04131153308,Lüneburg,21339,DE935,DEU,,,reviewer,,,,,,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke,DE160059202,Nuthetal,14558,DE40E,DEU,https://www.dife.de,,buyer,,stift-oer-land,,,,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,Vergabekammer des Landes Brandenburg beim Ministerium für Wirtschaft und Energie,DE325561763,Potsdam,14473,DE404,DEU,https://mweke.brandenburg.de/de/vergabekammer-nachpr%C3%BCfungsverfahren/bb1.c.478846.de,,reviewer,,,,,,
e4037a44-d382-4130-95c5-b24bacec472a,01,Kreisstadt St. Wendel - Amt 75 Hochbau und Gebäudemanagement -,.,St. Wendel,66606,DEC06,DEU,https://www.sankt-wendel.de,,buyer,,kommun-beh,,,,
e4037a44-d382-4130-95c5-b24bacec472a,01,Vergabekammer des Saarlandes,.,Saarbrücken,66119,DEC01,DEU,,,reviewer,,,,,,
531ef96a-411b-4e8d-9e60-ba326a97f149,01,"Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale,  Zentralstelle Vergabe- und Vertragsmanagement",233121477,Dresden,01129,DED21,DEU,https://www.sib.sachsen.de,,buyer,https://www.sachsen-vergabe.de,omu-lbeh,,,,
531ef96a-411b-4e8d-9e60-ba326a97f149,01,Vergabekammer des Bundes beim Bundeskartellamt,keine Angabe,Bonn,53113,DEA22,DEU,,,reviewer,,,,,,
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,"Bundesamt für Bauwesen und Raumordnung, in Vertretung der Bundesanstalt für Immobilienaufgaben",991-08260-09,Bonn,53179,DEA22,DEU,http://www.evergabe-online.de,,buyer,,oberst-bbeh,,,,
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,Bundeskartellamt - Vergabekammern des Bundes,'+4922894990,Bonn,53113,DEA22,DEU,,,reviewer,,,,,,
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,Bundesamt für Bauwesen und Raumordnung - A 4.2,991-00606-79,Bonn,53179,DEA22,DEU,,,,,,,,,
b24c4956-df4a-4280-851f-1a21bc105482,01,Hafen Nürnberg-Roth GmbH,DE199405122,Nürnberg,90451,DE254,DEU,https://www.bayernhafen.de/,,buyer,,,,,,
b24c4956-df4a-4280-851f-1a21bc105482,01,Bayernhafen GmbH & Co. KG,DE814447923,Regensburg,93055,DE232,DEU,https://www.bayernhafen.de/,,serv-prov,,,,,,
b24c4956-df4a-4280-851f-1a21bc105482,01,Regierung von Mittelfranken,DE811335517,Ansbach,91522,DE251,DEU,https://www.regierung.mittelfranken.bayern.de/,,reviewer,,,,,,
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,CKU-TP01,DE213809204,Unna,59423,DEA5C,DEU,,,buyer,,org-sub,,,,
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,BOS Projektmanagement GmbH,DE293967944,Duisburg,47057,DEA12,DEU,https://bos-pm.de/,,,,,,,,
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,Vergabekammer Westfalen,DE164242157,Münster,48147,DEA33,DEU,,,reviewer,,,,,,
1077025c-9104-45b0-8184-c7b1e3d129a7,01,Große Kreisstadt Dachau,09174115-48,Dachau,85221,DE217,DEU,,,buyer,,kommun-beh,,,,
1077025c-9104-45b0-8184-c7b1e3d129a7,01,"Regierung von Oberbayern, Vergabekammer Südbayern",09-0318006-60,München,80538,DE212,DEU,,,reviewer,,,,,,
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,Immobilien Projekt Management Düsseldorf GmbH,DE255740804,Düsseldorf,40589,DEA11,DEU,https://ipm.nrw/,,buyer,,pub-undert-ra,,,,
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,Vergabekammer Westfalen mit Sitz bei der Bezirksregierung Münster,05515-03004-07,Münster,48147,DEA33,DEU,https://www.brms.nrw.de/themen/wirtschaft-kultur-und-kommunales/vergabekammer-westfalen,,reviewer,,,,,,
bd7642d8-4463-4602-8602-19e6282d684c,01,Stadt Emsdetten,055660008008-31001-67,Emsdetten,48282,DEA37,DEU,,,buyer,,koerp-oer-kommun,,,,
bd7642d8-4463-4602-8602-19e6282d684c,01,Vergabekammer Westfalen,05515-03004-07,Münster,48128,DEA33,DEU,,,reviewer,,,,,,
6e40078a-968e-4451-a6f9-0066cfea02be,01,Stadt Ichenhausen,5865,Ichenhausen,89335,DE278,DEU,https://www.deutsche-evergabe.de,,buyer,https://www.deutsche-evergabe.de,kommun-beh,,,,
6e40078a-968e-4451-a6f9-0066cfea02be,01,Vergabekammer Südbayern,ace99519-b222-4bd2-9667-69fee93d67cb,München,80534,DE212,DEU,,,reviewer,,,,,,
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,Landkreis Leer,DE117262680,Leer,26789,DE94C,DEU,https://www.landkreis-leer.de/,,buyer,https://www.landkreis-leer.de/Aktuelles/Ausschreibungen/,kommun-beh,,,,
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,Landkreis Leer,DE117262680,Leer,26789,DE94C,DEU,https://www.landkreis-leer.de/,,,,,,,,
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,Vergabekammer Niedersachsen,t:04131153308,Lüneburg,21339,DE935,DEU,,,reviewer,,,,,,
a1922220-370b-4b20-9468-db1dcc39e4e2,01,Zweckverband Staatliche weiterführende Schulen im Südosten des Landkreises München (Schulzweckverband Südost),unbekannt1,Neubiberg,"85579
",DE21H,DEU,www.szv-m.de,,buyer,https://plattform.aumass.de/Veroeffentlichung/av286b64-eu,koerp-oer-kommun,,,,
a1922220-370b-4b20-9468-db1dcc39e4e2,01,Hitzler Ingenieure GmbH & Co. KG,unbekannt3,München,80807,DE212,DEU,,,,,,,,,
a1922220-370b-4b20-9468-db1dcc39e4e2,01,Vergabekammer Südbayern bei der Regierung von Oberbayern,0000,"München
",80538,DE212,DEU,https://www.regierung.oberbayern.bayern.de/,,reviewer,,,,,,
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,Rems-Murr-Kliniken gGmbH,t:071955910,Winnenden,71634,DE116,DEU,,,buyer,,pub-undert-ra,,,,
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,Menold Bezler Rechtsanwälte Steuerberater Wirtschaftsprüfer Partnerschaft mbB,PR 155 (Registergericht Stuttgart),Stuttgart,70191,DE111,DEU,http://www.menoldbezler.de,,serv-prov,,,,,,
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,Vergabekammer Baden-Württemberg beim Regierungspräsidium Karlsruhe,08-A9866-40,Karlsruhe,76131,DE122,DEU,,,reviewer,,,,,,
d9f6395a-527b-49cd-a0ec-bf43a062cdf0,01,Gemeinde Lisberg,0954998970,Lisberg,96170,DE245,DEU,https://www.vg-lisberg.de,,buyer,https://www.vg-lisberg.de,kommun-beh,,,,
d9f6395a-527b-49cd-a0ec-bf43a062cdf0,01,"Regierung von Mittelfranken, Vergabekammer Nordbayern",098153-1277,Ansbach,91511,DE251,DEU,https://www.regierung.mittelfranken.bayern.de,,reviewer,,,,,,
41d7ac31-f585-4156-af42-5415f9f2b774,01,Staatliches Bauamt München 2,ID 12096469,München,80539,DE212,DEU,https://www.stbam2.bayern.de/,,buyer,https://vergabe.bayern.de,omu-lbeh,,,,
41d7ac31-f585-4156-af42-5415f9f2b774,01,Staatliches Bauamt München 2 - Vergabestelle,t0896933210,München,80539,DE212,DEU,https://www.stbam2.bayern.de/,,serv-prov,,,,,,
41d7ac31-f585-4156-af42-5415f9f2b774,01,Regierung von Oberbayern - Vergabekammer Südbayern,09-0318006-60,München,80538,DE212,DEU,https://www.regierung.oberbayern.bayern.de/service/nachpruefungsverfahren/index.html,,reviewer,,,,,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,Samtgemeinde Ostheide,t: 0413780080,21397,Barendorf,DE935,DEU,,,buyer,,kommun-beh,,,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,Drees & Sommer SE,t:04312000279600,Kiel,24118,DEF02,DEU,,,,,,,,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,Drees & Sommer SE,T0431.200027.9614,Kiel,24118,DEF02,DEU,,,,,,,,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,"Vergabekammer Niedersachsen beim Nds. Ministerium für Wirtschaft, Verkehr, Bauen und Digitaliserung",t:04131152943,Lüneburg,21339,DE935,DEU,,,reviewer,,,,,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,Drees & Sommer SE,T0431.200027.9614,Kiel,24118,DE935,DEU,,,,,,,,,
afeff892-c330-4fb8-973c-6b65d1d3c1c1,01,Valletta GmbH,HRB 73257,Köln,51103,DEA23,DEU,https://www.malteser.de/,,buyer,,org-sub,,,,
afeff892-c330-4fb8-973c-6b65d1d3c1c1,01,Valletta GmbH,HRB 73257,Köln,51103,DEA23,DEU,https://www.malteser.de/,,reviewer,,,,,,
a040d776-b7d8-40d6-81c9-b50e1aa6daeb,01,Amt Oeversee,010595940-000-63,Tarp,24963,DEF0C,DEU,https://www.amtoeversee.de,,buyer,,koerp-oer-kommun,,,,
a040d776-b7d8-40d6-81c9-b50e1aa6daeb,01,"Vergabekammer des Landes Schleswig-Holstein bei dem Ministerium für Wissenschaft, Wirtschaft und Verkehr",nicht bekannt,Kiel,24105,DEF02,DEU,,,reviewer,,,,,,
f1c9a3f9-c8d4-42b4-9e98-1838d72567e0,01,Landkreis Gießen - Der Kreisausschuss -,'+49 6419390,Gießen,35394,DE721,DEU,http://www.lkgi.de,,buyer,,kommun-beh,,,,
f1c9a3f9-c8d4-42b4-9e98-1838d72567e0,01,Vergabekammer des Landes Hessen bei dem Regierungspräsidium Darmstadt,'+49 6151 126603,Darmstadt,64278,DE721,DEU,https://rp-darmstadt.hessen.de/,,reviewer,,,,,,
a98df0ee-02df-4926-a699-f0264bc70ae4,01,Immobilien Bremen - Eigenbetrieb der Stadtgemeinde Bremen,entfällt,Bremen,28215,DE501,DEU,https://vergabe.bremen.de,,buyer,https://vergabe.bremen.de,pub-undert,,,,
a98df0ee-02df-4926-a699-f0264bc70ae4,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",keine Angabe,Bremen,28195,DE501,DEU,https://bau.bremen.de/ressort/vergabekammer-3529,,reviewer,,,,,,
a98df0ee-02df-4926-a699-f0264bc70ae4,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",nicht bekannt,Bremen,28195,DE501,DEU,https://bau.bremen.de/ressort/vergabekammer-3529,,,,,,,,
2c665769-7e2e-4628-991e-28dcf9c3821a,01,Regierung von Oberbayern Vergabekammer Südbayern,09-0318006-60,München,80534,DE212,DEU,https://www.regierung.oberbayern.bayern.de/ueber_uns/zentralezustaendigkeiten/vergabekammer-suedbayern/index.html,,reviewer,,,,,,
2c665769-7e2e-4628-991e-28dcf9c3821a,01,ZV KD Oberland Zentrale Beschaffungsstelle,t:080414417700,Bad Tölz,83646,DE216,DEU,https://www.zv-oberland.de/,,serv-prov,,,,,,
2c665769-7e2e-4628-991e-28dcf9c3821a,01,Gemeinde Icking,t:08178920015,Icking,82057,DE216,DEU,,,buyer,https://zv-oberland.de,anst-oer-kommun,,,,
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,Stadt Gronau (Westf.),05554002002-31001-75,Gronau,48599,DEA34,DEU,http://www.gronau.de,,buyer,,kommun-beh,,,,
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,Vergabekammer Westfalen,05515-03004-07,Münster,48147,DEA33,DEU,http://www.bezreg-muenster.nrw.de/de/wirtschaft_finanzen_kommunalaufsicht/vergabekammer_westfalen/index.html,,reviewer,,,,,,
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,Gemeinde Gundelfingen,Gemeindeschlüssel 08 3 15 047,Gundelfingen,79194,DE132,DEU,,,buyer,,kommun-beh,,,,
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,"Vergabekammer Baden-Württemberg, Regierungspräsidium Karlsruhe",08-A9866-40,Karlsruhe,76247,DE123,DEU,https://rp.baden-wuerttemberg.de/rpk/Abt1/Ref15/Seiten/default.aspx,,reviewer,,,,,,
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,Immobilien Bremen - Eigenbetrieb der Stadtgemeinde Bremen,entfällt,Bremen,28215,DE501,DEU,https://vergabe.bremen.de,,buyer,https://vergabe.bremen.de,pub-undert,,,,
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",keine Angaben,Bremen,28195,DE501,DEU,https://www.bauumwelt.bremen.de,,reviewer,,,,,,
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",keine Angaben,Bremen,28195,DE501,DEU,https://www.bauumwelt.bremen.de,,,,,,,,
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,Landratsamt München - Zentrale Vergabestelle und Einkauf,09-0318253-95,München,81829,DE212,DEU,http://www.landkreis-muenchen.de,,buyer,https://plattform.aumass.de/Veroeffentlichung/av284b57-eu,kommun-beh,,,,
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,Regierung von Oberbayern - Vergabekammer Südbayern,USt-ID DE811335517,München,80538,DE212,DEU,https://www.regierung.oberbayern.bayern.de/ueber_uns/zentralezustaendigkeiten/vergabekammer-suedbayern/,,reviewer,,,,,,
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,Immobilien Bremen - Eigenbetrieb der Stadtgemeinde Bremen,entfällt,Bremen,28215,DE501,DEU,https://vergabe.bremen.de,,buyer,https://vergabe.bremen.de,pub-undert,,,,
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",keine Angabe,Bremen,28195,DE501,DEU,https://bau.bremen.de/ressort/vergabekammer-3529,,reviewer,,,,,,
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Bau, Mobilität und Stadtentwicklung",nicht bekannt,Bremen,28195,DE501,DEU,https://www.bauumwelt.bremen.de,,,,,,,,
125814cb-3fd3-45fb-8ee4-1940fc409986,01,Landkreis Rottal-Inn,09277000-Ri1500-46,Pfarrkirchen,84347,DE22A,DEU,http://www.rottal-inn.de,,buyer,https://www.rottal-inn.de/landkreis-region/aktuelle-ausschreibungen/,kommun-beh,,,,
125814cb-3fd3-45fb-8ee4-1940fc409986,01,"Regierung von Oberbayern, Vergabekammer Südbayern",09-0318006-60,München,80538,DE212,DEU,,,reviewer,,,,,,
5136b73e-1a8c-4623-ba6e-68446d10b433,01,Verbandsgemeinde Wittlich-Land,07 23 15 00 80 00 - 001 - 70,Wittlich,54516,DEB22,DEU,www.vg-wittlich-land.de,,buyer,,kommun-beh,,,,
5136b73e-1a8c-4623-ba6e-68446d10b433,01,"MWVLW RLP, Vergabekammer",07-0001801100000-05,Mainz,55116,DEB35,DEU,www.mwvlw.rlp.de,,reviewer,,,,,,
615b5280-a5cf-40f2-b7b9-3da4726c7de4,01,Verbandsgemeinde Wittlich-Land,07 23 15 00 80 00 - 001 - 70,Wittlich,54516,DEB22,DEU,www.vg-wittlich-land.de,,buyer,,kommun-beh,,,,
615b5280-a5cf-40f2-b7b9-3da4726c7de4,01,"MWVLW RLP, Vergabekammer",07-0001801100000-05,Mainz,55116,DEB35,DEU,www.mwvlw.rlp.de,,reviewer,,,,,,
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,"Stadtverwaltung Zwickau, Liegenschafts- und
Hochbauamt",keine,Zwickau,08056,DED45,DEU,https://www.zwickau.de,,buyer,,kommun-beh,,,,
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,"1.Vergabekammer des Freistaates Sachsen bei
der Landesdirektion Sachsen",keine,Leipzig,04107,DED52,DEU,,,reviewer,,,,,,
37ef6440-39ad-4711-b6d8-50cd3e259338,01,Stadt Wildau,t:0049337550510,Wildau,15745,DE406,DEU,https://www.wildau.de/,,buyer,,kommun-beh,,,,
